index,text,type
623,"Gautam Buddh Nagar in UP records 136 fresh #COVID19 cases, tally rises to 1,946: Official data",2
624,"RT @DailySikhUpdate: SGPC to Send 100,000 Parshade with 20,000 Food Packets to Nepal Immediately: See:... http://t.co/x9bBmEktWP",2
625,"trying to catch bus to travel home town .
#insecurekathmandu 
#NepalEarthquake 
#earthquake",1
626,"Foreign tourists in Rome, please see if you  can donate blood of all types for the #earthquake. https://t.co/DIGKoReJjn",0
627,First aid to victims #Italyquake of partner @CaritasItaliana on its way. How you can support https://t.co/kuPdP8y6cb https://t.co/OAOUQVai0O,1
628,RT @2014Sprint: @UNFPA @ippfsar @ippf @2014Sprint partners in providing #SRH services 2 earthquake affected women and girls in #Nepal http:…,2
629,"RT @anandamanish: Fight for food water and shelter among nepalese Victims after 3 days long earthquake in nepal
@ibnlive @bbcworld @aajtak",0
630,"Tinkune, #Kathmandu bridge after the #earthquake.
#NepalQuake #Nepal http://t.co/Bj15f6S6CI",2
631,Manisha Koirala thanks Modi for support after Nepal earthquake - Navbharat Times http://t.co/Mcyy9LTqnG via @NavbharatTimes,2
632,India could surely despatch 3-4 Field Ambulance Units to Nepal. They need us now.,0
633,"Jharkhand Government extends lockdown till July 31.\n\n29 new #COVID19 positive cases reported in #Jharkhand today, taking the total number of cases to 2,294 including 1,647 recoveries and 12 deaths: State Health Department\n\n#Lockdown #Coronavirus #Jharkhand #CoronaVirusUpdates https://t.co/8LAeOs6pfR",2
634,"Station Redevelopment : Overwhelming response from bidders, IRSDC receives 32 Applications despite COVID19 #IRSDC\n\nhttps://t.co/9pOU2HEY9e",2
635,Kaagmandu TV: Earthquake CCTV Footage -- Just Horrific http://t.co/LO4tzdZggf,2
636,"Italy quake - Young girl found alive under rubble, but at least 240 dead. ShelterBox team has arrived in country. https://t.co/IMw7GLStFt",1
637,"#Delhi
Need #Blood Type :  AB-positive
At : Apollo, Sarita Vihar 
Blood Component : Need Plasma AB+ve from #COVID19 recovered patient.
Primary Number : 9810950379
Secondary Number : 8860491193
Patient : Saleemuddin
Via: @sairahayatkhan2
#BloodMatters
Powered by Twitter https://t.co/dUUubfbyFc",0
638,"Mount Everest May Have Shrunk By 2.5cm After Nepal Earthquake, Says Satellite Data Analysis http://t.co/mLM9kkfEX1 http://t.co/h7ybqRJsM0",2
639,RT @shikhagautam: #Nepal earthquake - huge requirement of food &amp; water in smaller villages outside the cities. RT &amp; tag NGOs/individuals/or…,0
640,UAE begins flying aid and meals to help Nepal earthquake victims http://t.co/soCPRPuJx9,2
641,Sikh bodies to send food packets for Nepal quake victims http://t.co/MRzF9eVvNk,1
642,Passing dozens of Red Cross and emergency vehicles and buses on road out of Rome to earthquake zone. #ItalyEarthquake,1
643,"RT @rudrarajpandey: Remote Area Medical (RAM) for Nepal Earthquake Medical Relief
KATHMANDU, MAY 2, 2015

Remote Area Medical (RAM)... http…",1
644,India's economy is in deep trouble. https://t.co/Iy7mhPeJfr\n@AshwaniKumarAdv \n@GargaC @INDIAN22597486 @savita_aap @BJP4India @AlediaSunil @Sunilku62403145 @thesuniljain @minmsme @Mamta37780187 @richasharrma19 @richu1692 @aajtak @ANI #COVID19 #coronavirus https://t.co/QGui8Md00L,2
645,"In this era of negativity, I would like to thank each one of you who contributed towards the welfare of society. Be it donation, be it conversion of a building into quarantine centre,be it treatment of  patients,be it any freebie for the society! Salute for Real Heroes!\n#COVID19",2
646,"lacking goverment presents in remot village area. people asking, where is goverment #earthquake #Nepal",2
647,"#nepal #NepalEarthquake ""Free 24hr medicine service"" Prasit kandel +9779851133822 Shailesh Sharma +9779851017553",1
648,"#BJP4  Haven\u2019t U  heard the latest buz Prevelent in today\u2019s country\u2019s politico public space?This is @VirtualMeeting\u2014a latest device of contacting party workers online. Certainly,  it is a much used&amp; a more costly device of campaigning  used by @BJP Leadership only during Covid19.",2
649,CBC TORONTO: 'Calls are coming in from everywhere': Torontonians sending aid to Italian earthquake zone https://t.co/ejQ3AGI3xQ,1
650,"Relief group heading to North-Dhading tomorrow.
Volunteer Doctors/Medical Professionals Needed.

Contact - 9741311750

#Nepal #Earthquake",0
651,"RT @TheAtlantic: The earthquake Nepal saw coming.
http://t.co/tDVeMEkcSs http://t.co/Bod6yvfajZ",2
652,Donate for Nepal Earthquake victims. Dont give your worn off clothes give things which they can use. Give... http://t.co/a0nixbcCGL,2
653,"Just heard about the earthquake in Italy, hope all of our followers are ok! 🇮🇹",2
654,Italy Earthquake Emphasizes The Need For Mobile Hospitals https://t.co/Vs8pNItpQd,0
655,Fantastic write up on Restaurant Industries after Covid19!!! Please read this. @pragyachaudhary https://t.co/CcrFZbY0Ok,2
656,RT @theblueyonder: How insensitive climbers became a liability after earthquake in #Nepal #earthquake https://t.co/wY52opkYFB,2
657,Nepalese earthquake survivors struggling in hospital. #NepalEarthquake #NepalQuakeRelief http://t.co/aitTdHaYlE,0
658,En otras noticias: Quakes Strike Central Italy https://t.co/B0h9i0rizm #Xalapa,2
659,"Nepal earthquake: No food, no clothes, no shelter, say locals from Gorkha district at the epicentre of quake. We... http://t.co/NbhBYilcDl",0
660,Willing to help us Nepal earthquake victims then contact me. I'm not asking for fund we need here tents and blankets 9851061866 #NepalQuake,0
661,i feeling guilty. my Earth's  earthquake I can't protected reasons many but reality is earth is magnificent powers so week this time 😢😥😢😥,2
662,"@SrBachchan @imsrk sir, plz 4ward this tweet; 2 rqt all helpful ppl to donate bloods in nearby hospitals. blood scarce in Nepal's hospitals.",0
663,"#News
Italian rescue worker reassures woman buried under #earthquake rubble 
#Capodacqua #Italy
🙏 DONATE BLOOD🆘
https://t.co/LrnUo407jL",0
664,"RT @PMOIndia_RC: Delhi Sikh Gurdwara Prabandak Committee to send 25000 langar (cooked food) to nepal frm tmrw, Langar will be sent... http:…",1
665,RT @Sbh76: Nepal earthquake: India rushes over 8 thousand tents to disaster-struck Nepal | Latest News &amp;... http://t.co/lQgsLWR92C,1
666,RT @ansarianish4: For water in #Kathmandu please contact 9851035527 #Nepalquake #Earthquake #Staysafe http://t.co/rMjooJ2NtO,1
667,"More manpower are required in devasted area, don't moarn and only guard your family. Country needs you #Earthquake #Nepal",0
668,"RT @amarbail1: Army dispatch 4C-130 carryng 30-Bed hospital,special search/rescue teams n relief items 2 #Nepal #PakStandsWithNepal",1
669,Recalling trip to Eastern Nepal just before terrible earthquake! http://t.co/HsFnxEOtIN,2
670,"RT @Krittivasm: As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/v…",0
671,Earthquake resistant structures - how safe is your home?   (very informative article by @yoginisd ) http://t.co/BggTNyXbdV,2
672,RT @aolon: Hospital struggles to care for #Nepal earthquake victims (VIDEO) http://t.co/naPXNIsZZY,0
673,"Whoa! Those were wild #tremors!  #kolktata 
Where was the #earthquake?",2
674,"The @RedCross is urging Italians 🇮🇹 to turn their Wi-Fi #passwords off after the earthquake.
Via @businessinsider 

https://t.co/kg2msbKR7u",0
675,#India crosses another grim milestone of 5lakh #corona cases. Last 1 lakh cases added in 7 days \ud83d\ude37#coronaupdateindia #COVID19 https://t.co/Tvdu18duiK,2
676,Nearly 1 million children require urgent humanitarian assistance after Nepal earthquake http://t.co/9Udo42CX9u,0
677,Inside Nepal’s Next Challenge: Overflowing Hospitals http://t.co/lyLtDQHMvo #Uncategorized #Earthquake,0
678,"Nepal earthquake: Cholera, mosquito borne diseases may spread with upcoming monsoon season: Balakrish Nair, ex... http://t.co/TVJw5gro6s",2
679,irategroup.ru At the scene: Italy quake razes Pescara del Tronto - BBC News https://t.co/pbCsjrbEh5,2
680,#China has no cricket team\nWhy ?\nBecause they eat bats and don't understand boundaries.\n#LAC     #covid19,2
681,"Please mobilize the fund. #Earthquake survivor are dying as they haven't receive any food, medicine #pray4nepal  https://t.co/bqbgJGqS2F",0
682,Nepal earthquake: China sends search and rescue teams: With six sniffer dogs and relevant rescue and medical e... http://t.co/kSNp3m8iIP,1
683,"@INFnepal tries to get blankets,tents &amp; food for the Earthquake affected areas. But hard to get supplies in Pokhara http://t.co/u89UpvhuQU",0
684,Nepal earthquake: WHO sending medical supplies and assisting foreign medical team... http://t.co/54XZ9gY4oF,1
685,Nepal earthquake: Injured treated outdoors as Kathmandu hospital grapples with rush of victims: A massive 7.9-... http://t.co/lfGTbRMlKN,0
686,Death Toll From Italian Quake Rises To 38; Army Mobilized As Dozens Remain Buried Under Rubble #Italy https://t.co/T6PYdWNKZu,1
687,"RT @FatikThapa: 2 hrs ago #earthquake 4.1 has hit Thulopakhar (Bagmati), Nepal, 6.2mi, 4:59 AM GMT+5:45 (U http://t.co/uQTdDUU4iW",2
688,"Prayers to everyone affected by the devastating #Earthquake in #Nepal.

In the last few days, many of us would... http://t.co/haryeYPGDJ",2
689,"FOR NEPAL- ROUND TABLE NEPAL EARTHQUAKE RELIEF &amp; REHABILITATION http://t.co/fnH9tpoKsc via @wordpressdotcom
#Roundtablenepal",2
690,"MANY DIED, NO LIGHTS, NO WATER, BAD WEATHER, RAINING, UNDER TENT FULL OF HOLES OH LORD WHY DID YOU DO THIS TO OUR COUNTRY?! EARTHQUAKE SUCKS",0
691,"#News
Italian rescue worker reassures woman buried under #earthquake rubble 
#Capodacqua #Italy
🙏 DONATE BLOOD🆘
https://t.co/LrnUo407jL",0
692,"So sad...
イタリア中部地震で37人死亡、市長｢生き物の気配がしない」
ITALY EARTHQUAKE: AT LEAST 37 DEAD IN 6.2-MAGNITUDE TREMOR 2016年8月24日（水&gt;https://t.co/sF7qua4Fhg",2
693,"#Covid19 update #Delhi, June 26, 2020!! 3460 positive cases &amp; 63 deaths today. Tally positive cases 77,240. Recoveries 47091. Death toll 2492. https://t.co/QCcUmf4HbP",2
694,"Good work always appraises itself. See, I planned to donate 23 blankets for Nepal Earthquake survivors, and after... http://t.co/SF0iKFGYO2",1
695,What to do During #earthquake http://t.co/nDya7v7b8E,2
696,The @latimes reports on the shortages of power and #safewater in the aftermath of the earthquake in Nepal. http://t.co/TgM8GBdJGJ,0
697,"@TimesNow Earthquake in Nepal 
Golden temple to send 1 lac meals daily and other Gurudwara  in Delhi to send 25 K meals dailyNot heard any",1
698,Italy Earthquake: 'No electricity or food' - Sabarina lives 8 miles from the epicentre https://t.co/neHftXIZnf via @audioBoom,0
699,"Earthquake-hit Nepal needs one million tents for survivors : Nepal Earthquake 2015, News - India... http://t.co/k5VmHD4Ypj",0
700,@KTH1ISCOMING25 #SM4ISCOMING  #SiyaKakkar  #siyakakkarsuicide  #SushantSinghRajput #COVID19\n \ud83c\udf37Manushya Janm Anmol hai.. yah Mile na barmbaar..!\n Jaise Ped\ud83c\udf3f se Patta Gire vah fir Nahin Lagta Daar..!\ud83d\udc90\nMillion problems.. One Solution..\ud83d\udcd8 \u3010Jeene ki Raah\u3011\ud83d\udc47\ud83d\udc47\ud83d\udc4d\nhttps://t.co/3hKRQnV7K9 https://t.co/laPJpuXb5u,2
701,"RT @AnupKaphle: Has anyone seen these Nepali leaders? 

They've been missing since the earthquake, too. http://t.co/k5Ng7ZG2MW",2
702,"Earthquake victims get help, students learn that they truly can help... Read more at http://t.co/IVVqnl3t7F #NepalQuake #NepalQuakeRelief",2
703,RT @KPRinpoche: Phakchok Rinpoche leading food distribution efforts today in the aftermath of the earthquake in Nepal. #NepalRelief http://…,1
704,in few days we are hearing earthquake all parts of the world.. https://t.co/2TKfLtgZnS,2
705,"@PMOIndia @narendramodi Please watch This link sir\nCovid19 will be end one day but this guy have a really truth .\n\ https://t.co/hpKvEk24mM\""""",2
706,Terrible earthquake in central Italy. Shocked. Our Civil Protection Department needs blood. Please help. #terremoto,0
707,"Volunteers of DWSWN visited Kanakot to distribute cash to people who lost their house due to the Earthquake.
http://t.co/pbMEdGZEh6",2
708,"Nepal earthquake: Urgent need for water, sanitation and food: http://t.co/4z7ycAL7IC",0
709,"RT @ChandaDebabrata: Stagnant people due to earthquake, coming back from Nepal, giving different picture, Chinese aggressively distributing…",1
710,RT @Iamtssudhir: Hear India's top earth scientist Dr Harsh Gupta explain why south India is relatively earthquake-safe. On #UpSouth: http:/…,2
711,#COVID19 \nLockdown is not the solution... educate people well about Covid19.... else govt. is just delaying the spread.\nConsider it ....,2
712,Italy quake rescuers ask locals to unlock their wi-fi# earthquake#emergency# wifi makes sense https://t.co/MVSH6xVHoZ,0
713,RT @RamraoKP_: #ArtOfLiving centre in Nepal providing food relief and shelter Organising Blood Donation. http://t.co/IHDwdwS0sk #IndiaWithN…,1
714,"Informe USGS: M 6.0 - 132km N of Nebe, Indonesia: PAGER - GREEN ShakeMap - IITime2016-08-23 19:39:44 UTC2016-... https://t.co/3DwPWSDVeu",2
715,RT @Federation: #Earthquake wounded continue to face gruelling journeys on foot to find treatment http://t.co/G8l3vlevpe #NepalQuake http:/…,2
716,"Recent Photos Around Gongabu, Kathmandu ... It's fifth day after earthquake, no electricity, no internet,lack of... http://t.co/T3iUhia1eS",0
717,"People paying tribute to the victims of Nepal Earthquake at Hengrabari, Guwahati.",2
718,RT @BJP4Rajasthan: The Hon CM Shrimati @VasundharaBJP flags off the Relief Truck for the victims of the Nepal Earthquake on Monday. http://…,1
719,"Dear Friends, Nepal is getting EarthQuake most often daily. Your precious prayer support is highly appreaciated!!! http://t.co/HaPNpvh0ZM",2
720,Italian Red Cross volunteers are on the ground supporting people affected by the recent earthquake.  https://t.co/wvMegMxU8c,1
721,"Actions does more than thoughts or prayers! Like donating blood, food, water and shelter. #ItalyEarthquake #Italy #Earthquake",0
722,"ISBPL: #NEWS Earthquake in Nepal, north India — Day 5:  http://t.co/Sp8ngqNAix",2
723,"TAMIL Actor k.Vijay lost his life in Nepal earthquake 
R.I.P VIJAY",2
724,"Water, food, medical care and electricity are in short supply and there are fears of outbreaks of disease in earthquake affected areas.",0
725,"Giving Blanket to earthquake victim of Kamitar, Mandan of Kavre by our team. http://t.co/O5goviLt4v",1
726,#ItalyEarthquake @WHO @crocerossa Field guide for crush injuries in earthquakes for medics (for print/distribute) RT https://t.co/8nGSvCpfQe,1
727,Mumbai24x7 Nepal earthquake: 10 Mumbai doctors to set up medical camp in Kathmandu - Mid-Day: Mid-DayN... http://t.co/bWkZW9Q7Si #Mumbai,1
728,"RT @Naveennsui: Plz RT As much as
""Ambulance and Police Emergency Helpline numbers in Nepal.""
@sunny_congress @tshamsi88 @Iffidel http://t.…",1
729,Italian Red Cross urges people to disable Wi-Fi passwords after devastating earthquake https://t.co/gg3hcD5fLZ &gt;&gt; Niet veilg. Wel nodig.,0
730,Nepal earthquake: First baby born in field hospital named Lahore: The first baby born… http://t.co/OU6ujNUOi6 SPS®,1
731,"RT @PrashanthCru_PC: #Nepal #EarthQuake #NepalEarthQuake Paropkar Ambulance service: +977
4260859 Lalitpur Red Cross ambulance
service: +97…",1
732,"UPDATE: 51 Nepal Earthquake survivors are coming to #Gorakhpur camp by  U.P. RW bus through sonouli border.
@ANI_news @PMOIndia @the_hindu",1
733,If in the area affected by #earthquake in Italy please remove passwords from working wi-fi connections &amp; for emergencies call 800 840 840,0
734,"RT @cheku1941: How Gurudwara Bangla Sahib is sending 25,000 food packts to Nepal everyday-2 leading Sikh organisatons r sending food packts…",1
735,"Mahindra Pledges Support to Nepal Earthquake Victims 
http://t.co/TKJLmZ4hiK",2
736,"Uday Foundation, Adhchini (Delhi) is a collection point to send medical supplies for quake hit Nepal. Info: @VidyaKrishnan #NepalEarthquake",1
737,Earthquake in #Italy and now an #earthquake in #burma. The planet is angry today.,2
738,#Nepal Earthquake Survivors need your help. Help out! Give to Nepal Relief Fund - for Food and Water need urgent http://t.co/p61KNiTp5x.,0
739,@theNepale @harBrapper an Indian doctor also a CNN journalist has operated injured who was there to cover earthquake report so don't preach.,2
740,"RT @nrlshw: I have uninterrupted power supply, internet, telephone and my time. How cud I be helpful for u from #Pokhara. Plz ask. #earthqu…",1
741,Some restaurants in Italy are serving pasta all'amatricana to support earthquake victims. No better time to try it! https://t.co/B3WVl0xBS0,2
742,イタリア中心部で水曜日、マグニチュード6.2の地震があり、アマトリーチェでは建物倒壊など被害、少なくとも2人が死亡との報道。https://t.co/i6CCELnN0f,2
743,Strong tremors #earthquake #Kolkata,2
744,Earthquake victims at @dhulikhel hospital please help with foods cloths shelther food bed blankets etc... http://t.co/aS78FaGLsj,0
745,"#Gurugram
Need #Blood Type :  AB-positive
At : Medanta 
Blood Component : Need Plasma AB+ve/AB-ve from #COVID19 recovered patient.
Primary Number : 9650224225
Via: @aroraneerajk
#BloodMatters
Powered by Twitter https://t.co/vz6SnxUa1Y",0
746,"RT @bksCG: @Devinder_Sharma media is used to doing modi chant, irrespective of the context. It was overdone in earthquake situation.",2
747,"Okay, after some looking, found this information about how we can help those affected by #ItalyEarthquake https://t.co/4DyPKSX9KB #aid",2
748,RT @nishantchat: Nepal earthquake: 4000 peopl etake the bus ride to india | The Indian Express http://t.co/suaEYfRM0M,1
749,"RT @Krittivasm: This Nepal newborn enjoys naming ceremony at an earthquake camp, and he sleeps through most of it. My story @htTweets http:…",2
750,"RT @chandangoopta: Earthquake Helplines: including whom to contact for relief, tents, water etc. http://t.co/vE9kacqzoI",1
751,"RT @Floordevriess: Need for helicopters in #Langtang! Dutch travelers need to be rescued, please share. #nepal #earthquake #rescue http://t…",0
752,"Italy earthquake Blood Donation Emergency:
Below is the emergency phone number for the… https://t.co/Ib3iHi1d4r",0
753,"3Novices:Delhi Government to Send Food Packets, Drinking Water to Nepal http://t.co/ZfAUobaO4U Delhi Government has decided to send 25,00…",1
754,Emergency aid from Hungary https://t.co/ocYbruD3Tk https://t.co/aokugEBwa9,1
755,RT @sachinkarki: #IndianMedia are making fun of everything like they will never have a earthquake in India,2
756,"RT @TimesNow: Rajasthan CM announces 10,000 relief kits including food packets, plastic sheets, medicines, water bottles &amp; blankets to be s…",1
757,Jerusalem – Israel Offers Italy With Aid And Rescue Efforts For Earthquake Ravaged Town: Jerusalem – Israel’s leader says he has offe...,1
758,earthquake of intensity 5.4 felt in Andaman and Nicobar island @anjanaomkashyap @RubikaLiyaquat @aditi_tyagi @avasthiaditi @nandita_kodesia,2
759,"5 hours ago.A boy injured in the Nepal earthquake slept on the ground outside a hospital in Dhading Besi, .“Phone lines are down.",0
760,"#Terremoto Numeri Protezione Civile: 840840840/803555 Serve sangue.
Civil Protection Nos. Urgent need for blood donation #Italy #earthquake",0
761,Serie A teams to observe minute's silence for earthquake victims: Serie A clubs will hold a minute's silence ... https://t.co/ls1tHCxceK,2
762,Nepal earthquake: Nepal needs 1 million tents for temporary rehabilitation - The Hindu http://t.co/zM8rqdHGep,0
763,I added a video to a @YouTube playlist http://t.co/0lYQMUg6O0 Nepal EarthQuake-2015 (Pic Collection),2
764,"Team of Orthopedic, Neurosurgeon, General medicine &amp; Anesthetic ready to be dispatched to Nepal. Waiting for NDRF to call. #IndiaWithNepal",1
765,@NYGovCuomo #COVID19,2
766,@sweetasingh Lord Ganesha and Bible together in Nepal: Earthquake made it possible http://t.co/7KFM2RDnyE,2
767,"At least, people should get #water to drink if not food immediately ! #earthquake",0
768,"Latest : Delhi govt to send food packets, drinking water to Nepal - Zee News: NDTVDelhi govt to se... http://t.co/MeloMRsh06 #IndianNews",1
769,"RT @gefairclough: After Nepal quake, injured evacuated by helicopter from Everest, according to doctor at base camp. http://t.co/lzfLIBmx2E?",1
770,"RT @RIAZtheboss: Again earthquake n Assam,odisha, pondychrry -high hectare value,chennai - vadapalani,guindy,several parts-low hectare poin…",2
771,I had run free health camp for earthquake victims today. We checked up more than 200people health today and gave... http://t.co/62rjN9Rnfu,1
772,Please donate blood @ ospedale Lellis(Rieti)  #avisprovincialerieti #TerremotoItalia #earthquake #ItalyEarthquake,0
773,"RT @arunmsk: Nepal needs help  it needs food, medicine relief materials for people in distress  Doesn't need Ramdev. A nuisance value.",0
774,"I appeal to the people of Northern India &amp; Nepal, please do not panic, maintain peace during this tough time. #earthquake #Bihar #Nepal",2
775,#COVID19 #Rajasthan\n#rajasthancoronaupdate\n8:30pm Report\n364+ve cases &amp; 1 Death Reported\n60 #Jaipur \nCumulative+ve 16660\nActive +ve 3218\nDeaths 380\nCured 13062\nDischarged 12772\nMigrants +ve 4776\n\ud83d\udc47 https://t.co/CsX1rQk6nu,2
776,give your #helping #hand for earthquake victims Help out! Give to Nepal Relief Fund - for Food and Water need urgent http://t.co/p61KNiTp5x,0
777,"Delhi records 3,460 fresh coronavirus cases, taking tally to over 77,000; death toll mounts to 2,492, PTI quotes authorities. #COVID19 #Delhi",2
778,Reportedly NASA has issued WARNING of a Major Earthquake around 2-2.30 am,2
779,"RT @nitabhalla: ""Quake-hit Nepalis need information, not just food and water"" http://t.co/EjTSj7QAGi via @Reuters #commisaid #nepal #earthq…",0
780,"Today, the cargo plane of Ariana Airlines, the Flag Bearer Airlines of Afghanistan, carrying asafetida, dried and fresh fruits, took off from Kabul to Delhi, the first of its kind amid #COVID19 pandemic. https://t.co/G9L7W8B9NB",2
781,"RT @PriyaJadon1: Food is also being cooked her and sent for the people of Nepal during this crisis.
Media will not show this... http://t.co…",1
782,Start Mission Mode project to check if homes can withstand earthquake? @mlkhattar @VasundharaBJP @ChouhanShivraj @drramansingh @Dev_Fadnavis,2
783,just food and water insufficient to address needs of earthquake hit nepalis,0
784,Italian Red Cross today requesting people in earthquake affected areas remove wifi passwords on routers to allow emergency use #EPTip,0
785,@AnubhaShukla7 you should visit nepal they need medical store,0
786,RT @BJPDelhiState: @PiyushGoyal has offered to send engineers and equipment to restore the power grids in Nepal. We are extending what ever…,1
787,Nepal asks teams from 34 countries (including India's NDRF) to withdraw from earthquake rescue : http://t.co/2DKCNVrMGz via @IndiaToday,2
788,"#Israel IDF search and rescue earthquake team on way to #ItalyEarthquake.
#IDF #Jewish #humanitarian #Aid #ADL https://t.co/lFsw3wtBTu",1
789,#aktucancelexams #COVID19 @myogiadityanath @myogioffice @narendramodi @PMOIndia @AKTU_Lucknow @MuskanA49547939 @Abhishek9756 @sudhirchaudhary @aajtak,2
790,Working at health camp today for #earthquake victims. http://t.co/qeLhYdvg5p,1
791,Mag: 3.4 - Depth: 17 km - UTC 10:54 AM - Colombia - EMSC Info: https://t.co/06z8VTY541,2
792,RT @bseshadri: What Modi did after Earthquake shook Nepal and parts of India. http://t.co/5tSuyDXtZm,2
793,"Hope for no rain. ""@nytimesworld: Nepal quake victims sleeping outside. Water, food scarce: http://t.co/LtKpWttXYx http://t.co/e502wAnhzI""",0
794,We are also humans. We don\u2019t have super natural powers to fight against Corona. Why are you pushing us to get infected with #COVID19 . No decesion and guidelines till now. Shameful act @gndu_amritsar @ugc_india @PunjabGovtIndia @capt_amarinder \n#GNDUstudentsAgainstExams https://t.co/SfBVxEnXkM,2
795,"Deadly Italy earthquake: Accumoli and Amatrice in ruins; 
Army mobilized in rescue~
via @nbcnews
https://t.co/3cmPZEWWUX",1
796,PSA: Telstra and Optus are offering free calls to Italy following yesterday’s earthquake https://t.co/mrd9nU8Hp6,1
797,RT @voybhav: Supporting Online Volunteer Response to the Nepal Earthquake - Ushahidi http://t.co/6UMLw22fK1,2
798,Water distrubution at kusunti victim of earthquake,1
799,"Survivors of the magnitude 6.2 quake in #Italy seek shelter, left homeless. https://t.co/3t8UQTnfbS",0
800,"Earthquake Update #1: GAN distributes 275 blankets and 80 tents in Nayagaun, Kavre http://t.co/3jJtiidbj4 #NepalQuake http://t.co/PbTXukrnvC",1
801,"#eGov #Poll: India lacks efficient, ICT-enabled disaster risk management? http://t.co/L4Xod99uLd #elets #Earthquake http://t.co/35aRdOXdDu",2
802,RT @NabamtukiCM: My heartfelt condolences to families of those who lost their lives in devastating #earthquake in #Nepal &amp; North India #Aru…,2
803,"RT @sirsa_youth: #earthquake We airlifted 30,000 food packets to Nepal today.Guruji, Saint @Gurmeetramrahim has given a call.. 
https://t.c…",1
804,73 people are dead... :( #Earthquake #PrayForItaly this a terrible nightmare,2
805,"#Italy #RedCross @crocerossa deploys Relief units and Rescue dogs, 20 ambulances on their way to respond to major #earthquake @roteskreuz_de",1
806,Was sleeping..woke up suddenly #earthquake #kolkata,2
807,The @RedCross is urging Italians to disable wifi passwords so responders and victims can communicate. #earthquake https://t.co/k9fNCjTpXz,0
808,"Army, Rescuers Race to Save Survivors of Italy Quake: The 6.2 magnitude quake struck about 100 miles northeast of Rome and killed at ...",1
809,That\u2019s the biggest research question in this #COVID19Pandemic - are some people genetically not susceptible to #SARSCoV2  and thus will never develop #covid19?\n\nJust like resistant to HIV where main mechanism is a mutation of gene encoding CCR5 which acts as a co-receptor for HIV https://t.co/MWubekJJPV,2
810,Pope dispatches Vatican firefighters to help in Italy quake rescue - Daily Mail -- 15:24 https://t.co/0VqSsinCcs,1
811,NEPAL EARTHQUAKE #NATURALDISASTERS  #FIRE Our hearts and prayers are with Nepal! Seismologists have long... http://t.co/0NvPhTOQyZ,2
812,"RT @JantaKaReporter: #IAF's 2nd ""rapid aero medical team"" (aerial mobile hospital) will depart from Hindon Air Base for Kathmandu, #Nepal a…",1
813,#ParentsMinisterMeet final year student k Btae. Covid19 Delhi m full speed Se hai humhara ap Kya soch rhe hai?,2
814,"earthquake-Chk
thundrstorm-Chk
Rains n Lightning-chk
ws Mayan Calendr rite n v mis-calcl8d the d8s?
#earthquake #thunderstorm #endoftheworld",2
815,"Nepal earthquake : bcos Rahul Gandhi ate beef n went to Kedarnath
Moga 13 yr old's death : Act of God
#theWorldAccordingtoBJPnAllies",2
816,@ZeeNews @sudhirchaudhary Sir me Rajasthan Board ka 10th class ka study hu hmare exma hone vale 29 June se covid19 ki vj muje dar lg ra haiii hmare exam ho kyu ho rhe haii,2
817,Your #Wealth &amp; #Health https://t.co/RhY5MtiG5T 6.2-magnitude #earthquake in #Italy 76 kilometers southeast of the ci…https://t.co/wXutx9uoXH,2
818,"RT @AlRoxburgh: Spoke to my brother in #Nepal. Urgent need clearly water, food and shelter.
Rain coming down and aftershocks continuing #Ne…",0
819,RT @golden_eto: ShinHye donated 40 mil won via organization Food for the Hungry International for earthquake disaster recovery Nepal. http:…,1
820,"RT @HumanityRoad: MT @KanakManiDixit Blood donations needed. Call Dr. Manita at 98510-84500, Nepal Red Cross Blood Bank. #NepalQuake #hmrd …",0
821,"#Nepal earthquake  Today's morning appears very positive, rescue and rehabilitation of Nepalese and other nationals should be going smooth.",2
822,Nepal needs a lot of support from all of us in terms of small donations to blood to efforts in helping people out ! Time to act responsibly,2
823,RT @avi_insa: @Gurmeetramrahim #MSGHelpEarthquakeVictims Dhan Dhan satguru tera hi asra...pitaji we all ready to serve them. plz bless eart…,2
824,"EMSC MAP: ML 2.3  ISLAND OF HAWAII, HAWAII: Magnitude  ML 2.3Region  ISLAND OF HAWAII, HAWAIIDate time  2016-... https://t.co/4HhAxUZuSj",2
825,RT @dipakbhattarai: TU teaching hospital. #Earthquake injured are getting treatment on open space. Tents are urgent need. http://t.co/Dp2fs…,0
826,"Death toll from #Italyearthquake rises to 73, thousands homeless, army called in to move rubble https://t.co/9nPgmQqWHl",1
827,RT @TheNepal: Free bus rides from today nepal : Earthquake 2015 http://t.co/L1EpAX8okK #nepal,1
828,Nepal earthquake: Shock turns to anxiety over recovery challenge: http://t.co/HZ1BtO6Brx #FT,2
829,"Need half millions long lasting tent to support earthquake victims.
http://t.co/rLtuaG0UoY",0
830,"Hidden in earthquake debris, a Himalayan mental wreckage: A girl, perhaps in her early 20s, sits in front of D... http://t.co/NSKjMfQ8da",2
831,"Sentivo che c'è bisogno di sangue, chi può donare aiuti! 
Blood needed for the earthquake emergency please RT!",0
832,"RT @SusannaDiCosimo: #Nepal #NepalEarthquake track leaving from #Delhi 2morrow.donate Savalon,antibiotics, painkillers,disprins,clothes htt…",0
